,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,A Indx,density,pH,sulphates,Vit Indx,quality,Type
43,6.4,0.24,0.49,medium,0.053,25,120,14.58694591,0.9942,3.01,medium,low,high,Lemon_Juice
44,7.1,0.13,0.29,very_high,0.064,56,,15.62782234,0.99737,3.16,low,low,high,Lemon_Juice
45,6.6,0.26,0.46,high,0.047,48,186,15.8416168,0.9958,3.2,medium,very_low,low,Lemon_Juice
46,6.1,0.38,,low,0.06,27,113,13.2176102,0.99344,3.07,low,very_low,low,Lemon_Juice
47,7,0.35,,very_low,0.049,7,119,15.06381298,0.99297,3.13,low,low,high,Lemon_Juice
48,7.1,0.26,0.32,,0.044,31,170,15.588297,0.99644,3.17,low,medium,low,Lemon_Juice
49,11.6,,0.66,low,0.074,10,47,26.29163437,1.0008,3.25,medium,very_low,,Orange_Juice
50,7.6,0.445,0.44,very_high,0.045,68,212,17.31300403,0.9986,3.48,low,low,high,Lemon_Juice
51,7.7,0.44,0.24,very_high,0.031,41,167,16.46294441,0.9948,3.12,low,medium,high,Lemon_Juice
52,7.4,0.55,0.19,very_low,0.082,15,34,16.57331064,0.99655,3.49,medium,low,,Orange_Juice
53,6.8,0.33,0.3,low,0.047,35,147,15.13715851,0.9886,3.24,medium,high,high,Lemon_Juice
54,7.9,0.37,0.23,very_low,0.077,23,49,17.18979042,0.9963,3.28,medium,very_low,low,Orange_Juice
55,,0.42,0.35,low,0.083,17,38,21.03415012,0.99622,3.23,medium,medium,high,Orange_Juice
56,6.4,0.22,0.56,very_high,0.055,27,159,14.69176302,0.998,2.98,low,very_low,low,Lemon_Juice
57,7.3,0.18,0.65,very_low,0.046,28,157,,0.9946,3.33,medium,low,high,Lemon_Juice
58,,0.42,0.34,medium,0.04,34,108,17.07450053,0.99155,3.14,low,high,high,
59,6,0.26,0.34,very_low,0.046,6,29,13.70152238,0.9924,3.29,medium,low,low,Lemon_Juice
60,7.6,0.31,0.49,very_high,0.062,50,191,17.21949815,0.9989,3.22,medium,very_low,low,Lemon_Juice
61,6.1,0.24,0.26,very_low,,61,134,,0.9903,3.19,medium,,high,Lemon_Juice
62,7,0.58,0.28,medium,0.085,12,69,,0.99633,3.32,medium,medium,high,Orange_Juice
63,7.2,0.23,0.38,very_high,0.058,55,194,16.33584216,0.9979,3.09,low,very_low,high,Lemon_Juice
64,5,0.24,0.21,low,0.039,31,100,10.96751555,,3.69,medium,medium,high,Lemon_Juice
65,9.9,0.5,0.24,low,0.103,6,14,20.9272063,0.9978,3.34,medium,low,low,Orange_Juice
66,6.8,0.23,0.42,high,0.044,,189,15.34587493,0.9958,3.22,low,very_low,high,
67,7.2,0.21,,very_low,0.154,46,114,18.32384656,0.9931,2.95,low,very_low,high,Lemon_Juice
68,7.4,0.3,0.22,very_low,0.046,16,135,16.36324753,0.9928,3.08,medium,low,high,Lemon_Juice
69,7.4,0.19,0.31,very_high,0.045,39,193,16.35147249,0.9986,3.1,low,very_low,high,Lemon_Juice
70,6.9,,0.45,very_low,0.039,36,122,15.55216666,0.99059,3.07,low,medium,high,Lemon_Juice
71,7.2,0.24,0.3,very_low,0.048,27,131,15.84421662,0.9933,3.25,low,low,low,Lemon_Juice
72,7.3,0.19,0.27,very_low,0.027,35,,16.26187327,0.99248,3.38,medium,,,Lemon_Juice
73,5.6,0.225,0.24,very_high,0.054,59,,12.59725416,0.99545,3.17,low,low,high,Lemon_Juice
74,6.8,0.69,0,medium,0.124,21,58,14.7728938,,,medium,low,low,
75,6.4,0.16,0.25,very_low,0.047,20,77,13.89159507,0.9933,3.61,medium,low,high,Lemon_Juice
76,7,0.27,0.36,very_high,0.045,45,170,16.09419671,1.001,3,low,very_low,high,Lemon_Juice
77,7.3,0.585,0.18,low,0.078,15,60,15.75632553,0.99638,3.31,medium,low,low,Orange_Juice
78,7.7,0.32,0.62,very_high,0.036,56,153,18.1050927,0.9978,3.13,low,very_low,high,Lemon_Juice
79,6.4,0.31,0.28,very_low,0.037,12,119,14.62499863,0.9919,3.32,medium,low,high,Lemon_Juice
80,6.4,0.42,0.46,very_high,0.05,58,180,15.20507555,0.99495,3.18,low,low,high,Lemon_Juice
81,6.6,0.25,0.31,very_high,0.059,52,181,14.72118019,0.9984,,low,low,high,Lemon_Juice
82,8.1,0.2,0.4,very_low,0.037,19,87,17.98403358,0.9921,3.12,medium,medium,high,Lemon_Juice
83,6.9,0.22,0.37,very_high,0.053,59,178,15.39066139,0.9992,3.37,medium,low,high,Lemon_Juice
84,7.8,0.24,0.38,low,0.058,14,167,17.73864357,0.994,,medium,low,low,Lemon_Juice
85,5.3,0.43,0.11,very_low,0.029,6,51,11.34457974,0.99076,3.51,low,medium,low,Lemon_Juice
86,6.9,0.19,0.32,high,0.042,30,130,15.41174153,0.99456,3.4,low,low,high,Lemon_Juice
87,6.1,0.16,0.24,very_low,0.046,17,77,13.74610588,0.99319,3.66,medium,low,high,Lemon_Juice
88,7.4,0.18,,very_low,0.048,26,105,15.72224831,0.994,3.52,medium,low,high,Lemon_Juice
89,6.9,0.32,0.27,very_high,0.034,58,185,15.00213397,0.99938,3.34,medium,very_low,high,Lemon_Juice
90,8.6,0.27,0.46,high,0.032,13,,19.25523841,0.993,2.89,low,medium,low,Lemon_Juice
91,9.2,,0.34,very_high,0.043,49,228,20.1104934,0.9974,,low,low,high,Lemon_Juice
92,7.5,0.18,0.37,high,0.05,21,138,16.81034494,0.99546,3.2,medium,low,high,Lemon_Juice
93,8.1,1.33,0,very_low,0.082,3,12,17.75354295,0.9964,3.54,low,,low,Orange_Juice
94,6.1,0.32,0.33,very_high,0.036,27,98,13.64943408,0.99521,3.34,medium,low,high,Lemon_Juice
95,6.4,,0.27,high,0.036,88,223,14.32763992,0.9948,3.28,low,low,,Lemon_Juice
96,6.1,0.34,0.24,very_high,0.05,33,184,13.85276661,0.99943,3.12,medium,very_low,low,Lemon_Juice
97,6.2,0.3,0.33,low,,37,155,14.07873032,0.98987,3.18,low,high,high,Lemon_Juice
98,6.9,,0.25,low,0.041,26,124,15.44615162,0.99428,3.18,low,very_low,,Lemon_Juice
99,7.4,0.18,0.36,very_high,0.056,72,163,16.6104613,1,3.42,low,very_low,high,Lemon_Juice
100,7.4,0.19,0.3,very_high,0.053,48.5,229,16.03156705,0.9986,3.14,low,very_low,high,Lemon_Juice
101,8.1,0.27,0.33,very_low,0.045,26,100,17.83556048,0.99066,2.98,low,high,high,
102,5,,0.16,very_low,,10,97,10.96540912,0.9917,,low,low,high,Lemon_Juice
103,6.8,0.39,0.34,high,0.02,38,133,14.88717649,0.99212,3.18,low,medium,high,Lemon_Juice
104,6.9,0.44,0.42,very_high,0.048,10,147,,0.9974,3.32,low,,high,Lemon_Juice
105,6.8,0.23,0.29,,0.073,56,173,,0.9984,3.06,low,very_low,high,Lemon_Juice
106,6.8,0.21,0.36,very_high,0.046,,133,15.17483609,1,3.27,low,very_low,low,Lemon_Juice
107,8.8,0.28,0.45,medium,0.022,14,49,19.70908936,0.9934,3.01,low,medium,high,Lemon_Juice
108,6.6,0.435,0.38,very_high,0.058,66,243,14.71730555,0.99833,3.23,medium,very_low,,Lemon_Juice
109,5.5,0.15,0.32,very_high,0.031,16,99,12.47339733,0.99437,3.26,low,medium,high,Lemon_Juice
110,7.3,0.22,0.4,very_high,0.042,44.5,129.5,,0.9998,3.36,low,very_low,,Lemon_Juice
111,6.3,0.39,0.08,very_low,0.066,3,20,13.48827194,0.9954,3.34,medium,low,low,Orange_Juice
112,6,0.28,0.27,low,0.051,23,147,13.17717682,0.994,3.23,medium,low,high,Lemon_Juice
113,7.7,0.43,0.28,medium,0.046,33,102,16.55591206,0.9918,3.16,medium,high,high,Lemon_Juice
114,7.5,0.35,0.48,very_high,0.056,61,176.5,17.20671377,0.99803,2.97,medium,very_low,low,Lemon_Juice
115,8.1,0.22,0.28,,0.043,57,176,,0.9954,,medium,low,low,Lemon_Juice
116,6.3,0.36,0.3,medium,0.049,14,85,14.29596631,0.9932,3.28,low,low,low,Lemon_Juice
117,6.6,0.21,0.39,low,0.041,31,102,15.03750028,0.99221,,medium,medium,high,Lemon_Juice
118,6.6,0.32,0.22,very_high,0.046,38,133,14.46918323,,3.22,medium,low,high,Lemon_Juice
119,7.2,0.2,0.22,very_low,0.044,17,101,15.4612066,0.99471,3.37,medium,low,low,Lemon_Juice
120,7.6,0.56,0.12,,0.096,22,177,,0.9983,3.32,low,very_low,low,
121,6.7,0.47,,very_high,0.043,31,172,14.85252595,0.9964,3.22,medium,very_low,low,Lemon_Juice
122,7.8,0.21,0.27,very_low,0.051,20,89,17.0338092,0.9936,3.06,low,very_low,low,Lemon_Juice
123,,0.26,0.29,high,0.038,40,179,14.47688012,0.99479,3.23,,,high,Lemon_Juice
124,6.9,0.2,0.37,high,0.027,24,97,15.72343551,,3.38,low,high,high,Lemon_Juice
125,6.6,0.27,0.41,very_low,0.052,16,,15.23972365,0.9951,3.42,low,low,high,Lemon_Juice
126,6.2,0.27,0.26,very_high,0.046,43,127,13.81867861,0.9951,3.16,low,medium,high,Lemon_Juice
127,5.8,0.13,0.22,very_high,0.058,24,183,13.62792324,0.9956,3.32,low,medium,high,
128,7.8,0.59,0.33,very_low,0.074,24,120,17.93313881,0.9968,3.25,medium,low,low,Orange_Juice
129,7,0.23,0.35,very_low,0.036,31,,15.84638938,0.9912,3.16,low,medium,high,Lemon_Juice
130,7.2,0.62,0.06,low,0.078,17,,15.96771612,0.99746,3.51,medium,low,low,Orange_Juice
131,7.4,,0.49,very_low,0.055,18,150,17.115653,0.9917,3.23,low,medium,high,Lemon_Juice
132,7.1,0.28,0.49,high,0.041,28,111,15.92404625,0.9926,3.41,medium,high,high,Lemon_Juice
133,5.8,0.29,0.33,low,0.029,30,88,13.24296219,0.98994,3.25,low,high,high,Lemon_Juice
134,6.1,0.34,0.31,very_high,0.053,46,238,13.8635005,0.9977,3.16,low,very_low,low,Lemon_Juice
135,6.6,0.32,0.22,very_high,0.046,38,133,14.89008232,0.9979,3.22,medium,low,high,Lemon_Juice
136,7.1,0.66,0,low,,17,45,14.91593513,0.9976,3.46,medium,low,low,Orange_Juice
137,9.8,,0.39,very_low,0.062,3,9,21.58909466,0.9948,3.14,medium,medium,high,Orange_Juice
138,6,0.29,0.25,very_low,0.033,30,114,13.571372,0.98794,3.08,low,high,high,Lemon_Juice
139,7,0.23,0.42,very_high,0.05,35,144,15.65540062,0.9999,3.22,low,very_low,low,Lemon_Juice
140,,0.17,0.36,very_low,0.042,14,61,13.10620889,0.99144,3.22,medium,medium,high,Lemon_Juice
141,5.1,0.165,0.22,medium,0.047,42,146,,0.9934,3.18,medium,low,high,Lemon_Juice
142,7.2,0.46,0.65,very_high,0.05,76,192,17.30506991,0.9976,3.16,low,very_low,low,Lemon_Juice
143,6.1,0.29,0.27,very_low,0.024,13,76,13.41511049,0.9893,3.21,medium,high,high,Lemon_Juice
144,,0.61,0,low,0.095,48,59,14.09405428,0.99541,3.61,medium,medium,high,Orange_Juice
145,6.9,0.17,0.22,medium,0.064,55,152,,0.9952,3.29,low,very_low,high,Lemon_Juice
146,6.6,0.32,0.41,high,0.048,55,178,14.73646893,0.99537,3.2,low,low,low,Lemon_Juice
147,9.8,0.45,0.38,low,0.081,34,66,21.36008407,0.99726,3.15,medium,low,low,Orange_Juice
148,10.6,0.28,0.39,very_high,0.069,6,23,23.50644272,,3.12,medium,very_low,low,Orange_Juice
149,11.1,0.44,0.42,low,0.064,14,19,24.08156417,0.99758,3.25,medium,,high,
150,8,0.83,0.27,very_low,0.08,11,63,17.64181803,0.99652,3.29,low,low,low,Orange_Juice
151,7.8,0.26,0.31,low,0.025,22,100,16.85893504,0.99066,2.99,low,medium,high,Lemon_Juice
152,6.1,0.28,0.25,very_high,0.044,48,161,13.29058253,0.9993,3.34,low,low,low,Lemon_Juice
153,6.5,0.115,0.29,very_low,0.038,73,166,14.0831463,0.989,3.12,low,high,high,Lemon_Juice
154,6.4,0.31,0.28,low,0.039,34,137,,0.98946,3.22,low,high,high,Lemon_Juice
155,7.2,0.36,0.36,,0.038,26,98,16.4530816,0.9914,2.93,medium,high,high,Lemon_Juice
156,,0.18,0.25,very_high,0.048,79,149,14.86056638,0.9975,3.12,low,low,low,
157,7.1,0.2,0.35,low,0.034,21,107,15.89455662,,3.11,medium,,high,Lemon_Juice
158,7.1,0.14,0.4,very_low,0.051,55,136,15.74065607,0.9932,3.3,medium,low,high,Lemon_Juice
159,6.7,0.26,0.51,high,0.062,50,194,15.48058654,0.99545,3.13,low,low,low,Lemon_Juice
160,,0.31,,very_high,0.057,36,221,15.03538917,0.99642,3.17,,very_low,low,Lemon_Juice
161,6.8,0.32,0.34,medium,0.05,5,129,15.80718757,0.9953,3.19,low,very_low,low,Lemon_Juice
162,6,0.33,0.32,,,6,113,14.21486834,0.99572,3.3,medium,medium,low,Orange_Juice
163,,0.69,0.11,very_low,0.084,8,24,21.44307002,0.99578,2.88,low,,low,Orange_Juice
164,,0.62,0.06,low,0.077,15,85,15.84488859,0.99746,3.51,medium,,low,Orange_Juice
165,6.8,0.3,0.33,very_high,0.041,60,168,14.83508779,0.99659,3.1,medium,low,low,Lemon_Juice
166,7.1,0.18,0.39,very_high,,45,,15.45524934,0.99946,3.34,medium,very_low,high,Lemon_Juice
167,7.3,,0.23,high,0.05,18,102,15.6170763,0.99304,3.1,medium,medium,low,Lemon_Juice
168,6.9,0.55,0.15,low,0.076,19,40,14.91957383,0.9961,3.41,medium,low,low,Orange_Juice
169,8.6,0.645,0.25,very_low,0.083,8,28,18.80815431,0.99815,3.28,medium,low,high,Orange_Juice
170,6.9,0.19,0.39,high,0.028,22,84,15.82553383,0.994,3.11,medium,,high,Lemon_Juice
171,8.1,0.45,0.34,very_high,0.037,33,216,18.13423638,0.9976,3.31,medium,low,low,Lemon_Juice
172,6.5,0.24,0.36,low,0.027,36,134,14.63407525,0.9898,3.28,low,high,high,Lemon_Juice
173,6.2,0.36,0.45,very_high,,22,184,14.43875807,0.99711,3.31,medium,low,high,Lemon_Juice
174,7.2,0.73,0.02,,0.076,16,42,,0.9972,3.44,medium,very_low,low,Orange_Juice
175,7.6,0.16,0.44,very_low,0.043,25,109,,0.9932,3.11,medium,low,high,Lemon_Juice
176,6.6,0.88,0.04,low,0.066,12,20,14.1207384,0.99636,3.53,medium,low,low,Orange_Juice
177,6,0.2,0.33,very_low,0.039,45,126,13.2733015,0.99051,,low,medium,high,Lemon_Juice
178,9.4,0.59,0.14,very_low,0.084,25,48,,0.9981,3.14,medium,low,low,Orange_Juice
179,8.9,0.21,0.37,very_low,0.028,20,93,19.272776,0.99244,3.2,low,medium,low,Lemon_Juice
180,8.7,0.23,0.32,very_high,0.044,35,169,19.17437321,0.99975,3.12,low,very_low,high,Lemon_Juice
181,6.7,0.18,0.24,very_high,0.057,64,185,14.52936876,0.99519,3.12,low,low,high,Lemon_Juice
182,7.4,0.21,0.27,high,0.031,41,144,16.5698898,0.9932,3.15,low,medium,high,Lemon_Juice
183,7.3,0.33,0.4,high,0.038,32,138,16.27262579,,3.03,low,medium,high,Lemon_Juice
184,6.9,0.16,0.37,very_low,0.034,36,95,14.92381011,0.98952,2.93,medium,medium,high,Lemon_Juice
185,,0.34,0.42,very_low,0.058,9,18,20.34208606,0.99392,3.18,medium,medium,low,Orange_Juice
186,6,0.26,0.32,low,,,113,13.68134368,0.9912,3.4,medium,high,high,Lemon_Juice
187,5.8,0.28,0.66,very_high,0.039,26,159,13.81208042,0.9965,3.66,medium,medium,low,Lemon_Juice
188,10.2,0.41,0.43,low,0.11,11,37,,0.99728,3.16,medium,medium,low,Orange_Juice
189,6,0.19,0.26,,0.039,30,104,13.86695982,0.98998,3.32,low,high,high,Lemon_Juice
190,5.8,0.27,0.2,very_high,0.044,22,179,12.62695725,0.9962,3.37,low,low,low,Lemon_Juice
191,6.5,0.32,0.23,very_high,0.051,20,138,14.21927181,0.9943,3.03,low,low,low,Lemon_Juice
192,6.7,0.18,0.3,,0.048,40,251,14.70347591,0.9956,3.29,medium,low,low,Lemon_Juice
193,7.2,,0.28,very_low,0.032,30,92,15.81418809,0.9914,3.1,low,medium,high,Lemon_Juice
194,,0.36,0.54,very_high,0.054,63,193,16.77860983,0.99864,3.06,low,very_low,low,Lemon_Juice
195,8.4,0.19,0.43,low,0.052,20,104,18.38575822,0.994,2.85,low,low,low,Lemon_Juice
196,8.6,0.725,0.24,high,0.117,31,134,18.27357661,1.0014,3.32,high,very_low,low,Orange_Juice
197,6.5,0.27,,very_high,0.039,74,227,14.7834389,0.99582,3.18,low,low,low,Lemon_Juice
198,6.7,0.51,0.24,low,0.043,14,155,14.95674814,0.9904,3.22,medium,high,high,Lemon_Juice
199,9.4,0.685,0.26,low,0.082,23,143,20.75570893,0.9978,3.28,medium,low,low,Orange_Juice
200,9.4,0.615,0.28,low,0.087,18,72,20.59881255,1.0001,3.31,medium,low,low,
201,10.2,0.54,0.37,very_high,0.214,,95,22.57896344,1.00369,3.18,medium,very_low,high,Orange_Juice
202,6.5,0.24,0.28,very_low,0.034,26,83,14.47630183,0.98928,3.25,low,high,high,Lemon_Juice
203,7.8,0.545,0.12,low,0.068,11,35,17.07276474,0.996,3.34,medium,medium,high,Orange_Juice
204,5.3,0.47,0.11,low,0.048,16,89,11.69922466,0.99182,,medium,very_high,high,Orange_Juice
205,6.4,0.63,0.21,very_low,0.08,12,32,14.02961129,0.99689,3.58,medium,low,low,Orange_Juice
206,6.6,0.21,0.29,medium,0.029,43,106,,0.99112,2.93,low,medium,high,Lemon_Juice
207,6.2,0.37,0.24,high,0.032,19,86,13.84610658,0.98934,3.04,low,high,high,
208,,0.21,0.21,very_high,0.037,17,,10.73931938,0.99324,3.66,,high,high,Lemon_Juice
209,6.4,0.24,0.49,,0.053,25,120,,0.9942,3.01,medium,,high,Lemon_Juice
210,6.3,0.23,0.33,high,0.052,23,118,14.17434877,0.9938,3.23,low,low,high,Lemon_Juice
211,9,0.36,0.52,low,0.111,5,10,20.42212304,0.99568,3.31,medium,medium,high,Orange_Juice
212,6.9,0.18,0.36,very_low,0.036,,117,14.57434434,0.9934,3.27,medium,low,high,Lemon_Juice
213,6,0.39,0.26,low,0.038,39,187,13.38526987,0.99325,3.41,low,medium,high,Lemon_Juice
214,6.7,0.62,0.24,very_low,0.039,6,62,15.26672783,0.9934,3.41,low,,low,
215,7.2,0.22,0.49,very_low,0.045,34,140,16.74386251,0.99,3.05,low,high,high,Lemon_Juice
216,6.9,0.33,0.26,medium,0.027,46,143,15.48545268,0.9924,3.25,low,medium,high,Lemon_Juice
217,6.7,0.47,0.34,very_high,0.043,31,172,14.79283537,0.9964,3.22,medium,very_low,low,Lemon_Juice
218,7.5,0.38,0.56,very_high,0.055,15,170,18.06087539,0.99605,3.13,medium,low,high,Lemon_Juice
219,7.6,0.19,0.38,very_high,0.06,48,174,16.7574845,0.9962,3.13,low,low,high,Lemon_Juice
220,7.5,0.19,0.49,very_low,0.055,19,110,,0.9946,3.33,low,low,low,Lemon_Juice
221,6.8,0.32,0.43,very_low,0.05,4,65,15.73831533,0.99346,3.27,low,low,low,Lemon_Juice
222,7.1,0.46,0.14,low,0.076,15,37,15.30653336,0.99624,3.36,low,low,low,
223,5.6,0.2,0.36,low,0.048,16,125,13.08902502,0.99282,3.49,low,low,high,Lemon_Juice
224,7.6,0.43,0.29,,0.075,19,66,17.1603914,0.99718,3.4,medium,low,low,Orange_Juice
225,6,0.52,0.33,high,0.046,24,119,13.88519756,0.99224,3.04,low,medium,high,Lemon_Juice
226,8.5,0.18,0.3,very_low,0.028,34,95,18.60859123,0.99272,2.83,low,low,low,Lemon_Juice
227,7.5,0.305,0.4,very_high,0.059,44,170,16.67473012,1,,low,very_low,,Lemon_Juice
228,6.2,0.23,0.36,very_high,0.039,37,130,14.30722935,0.99946,3.23,low,very_low,high,Lemon_Juice
229,8.9,0.33,0.34,very_low,0.056,14,171,18.95578371,0.9946,3.13,low,low,low,Lemon_Juice
230,6.8,0.27,0.29,medium,0.046,6,88,14.99848496,0.99458,3.34,low,low,low,Lemon_Juice
231,6.2,0.2,0.28,very_low,0.039,24,,13.16796045,0.9899,3.36,low,medium,high,Lemon_Juice
232,7.2,0.29,0.4,very_high,0.045,66,231,16.19182117,0.9977,3.08,medium,low,high,Lemon_Juice
233,8.5,0.23,0.28,very_high,0.033,30,97,18.41500108,0.99507,3.03,low,low,high,Lemon_Juice
234,6.5,0.17,0.31,very_low,0.041,34,121,14.88607004,0.99092,3.06,low,low,high,Lemon_Juice
235,6.6,0.23,0.37,very_high,0.036,46,153,14.59580755,0.99576,3.2,low,low,high,Lemon_Juice
236,6.2,0.35,0.2,very_high,0.069,33,158,12.92020517,0.99908,3.15,low,very_low,high,Lemon_Juice
237,7.5,0.43,0.3,low,0.062,6,12,16.69407217,,3.44,medium,medium,,Orange_Juice
238,8.4,0.37,,,0.413,9,26,19.00246216,0.9979,3.06,high,very_low,,Orange_Juice
239,8.9,0.59,0.5,very_low,0.337,27,81,20.40427428,0.9964,3.04,very_high,low,high,Orange_Juice
240,6.8,0.18,0.38,very_low,0.038,35,111,14.60347887,0.9918,,medium,medium,,Lemon_Juice
241,6.5,0.36,0.32,very_low,0.031,13,66,14.01343509,0.9916,3.1,low,low,low,Lemon_Juice
242,6.4,0.225,0.48,low,0.115,29,104,14.65763959,0.9918,3.24,medium,medium,high,Lemon_Juice
243,8.4,0.745,0.11,very_low,0.09,16,63,18.13760749,0.9965,3.19,medium,low,low,Orange_Juice
244,7.1,0.44,0.37,low,0.041,35,128,15.88382275,0.9896,,low,high,high,Lemon_Juice
245,,0.16,,very_low,0.04,41,149,13.57887092,0.9933,3.49,,low,high,Lemon_Juice
246,6.4,0.23,0.27,low,0.042,35,100,14.16346385,0.99094,,medium,medium,high,Lemon_Juice
247,6.4,0.29,0.24,low,0.037,31,95,14.05134176,0.98942,2.9,medium,high,high,Lemon_Juice
248,5.6,0.18,,very_low,0.038,16,84,12.5216757,0.9924,3.34,medium,low,high,Lemon_Juice
249,8.6,0.52,0.38,very_low,0.096,5,18,19.1023371,0.99666,3.2,,low,low,Orange_Juice
250,11.6,0.41,0.58,low,0.096,,101,25.83879684,1.00024,3.13,medium,low,low,Orange_Juice
251,9.2,0.755,0.18,low,0.148,10,103,20.51922415,0.9969,2.87,high,low,high,Orange_Juice
252,6.6,0.4,0.46,high,0.056,42,241,14.96601781,0.9968,3.5,medium,low,low,Lemon_Juice
253,7,0.35,,very_low,0.069,15,162,15.76269106,0.9944,3.18,low,low,low,Lemon_Juice
254,8.1,0.2,0.3,,0.036,,49,17.64880464,0.99242,2.99,medium,low,low,Lemon_Juice
255,7.2,0.35,0.26,very_low,0.083,33,75,15.76868553,0.9968,3.4,medium,low,high,Orange_Juice
256,6.2,0.21,0.18,very_high,0.044,61,155,,0.99655,3.14,medium,low,high,Lemon_Juice
